# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-01-31 12:12:32 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07232500 Beaver River near Guymon, OK
# -----------------------------------------------------------------------------------
#
# Data provided for site 07232500
#            TS   parameter     statistic     Description
#        111434       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	111434_00060_00003	111434_00060_00003_cd
USGS	07232500	1937-10-31	6.00	A
USGS	07232500	1937-11-01	2.00	A
USGS	07232500	1937-11-02	2.00	A
USGS	07232500	1937-11-03	2.00	A
USGS	07232500	1937-11-04	2.00	A
USGS	07232500	1937-11-05	2.00	A
USGS	07232500	1937-11-06	2.00	A
USGS	07232500	1937-11-07	2.00	A
USGS	07232500	1937-11-08	2.00	A
USGS	07232500	1937-11-09	2.00	A
USGS	07232500	1937-11-10	2.00	A
USGS	07232500	1937-11-11	2.00	A
USGS	07232500	1937-11-12	2.00	A
USGS	07232500	1937-11-13	2.00	A
USGS	07232500	1937-11-14	2.00	A
USGS	07232500	1937-11-15	2.00	A
USGS	07232500	1937-11-16	2.00	A
USGS	07232500	1937-11-17	2.00	A
USGS	07232500	1937-11-18	2.00	A
USGS	07232500	1937-11-19	2.00	A
USGS	07232500	1937-11-20	2.00	A
USGS	07232500	1937-11-21	2.00	A
USGS	07232500	1937-11-22	2.00	A
USGS	07232500	1937-11-23	2.00	A
USGS	07232500	1937-11-24	2.00	A
USGS	07232500	1937-11-25	2.00	A
USGS	07232500	1937-11-26	2.00	A
USGS	07232500	1937-11-27	2.00	A
USGS	07232500	1937-11-28	2.00	A
USGS	07232500	1937-11-29	2.00	A
USGS	07232500	1937-11-30	2.00	A
USGS	07232500	1937-12-01	2.00	A
USGS	07232500	1937-12-02	2.00	A
USGS	07232500	1937-12-03	2.00	A
USGS	07232500	1937-12-04	2.00	A
USGS	07232500	1937-12-05	2.00	A
USGS	07232500	1937-12-06	2.00	A
USGS	07232500	1937-12-07	2.00	A
USGS	07232500	1937-12-08	2.00	A
USGS	07232500	1937-12-09	2.00	A
USGS	07232500	1937-12-10	2.00	A
USGS	07232500	1937-12-11	2.00	A
USGS	07232500	1937-12-12	2.00	A
USGS	07232500	1937-12-13	2.00	A
USGS	07232500	1937-12-14	2.00	A
USGS	07232500	1937-12-15	2.00	A
USGS	07232500	1937-12-16	2.00	A
USGS	07232500	1937-12-17	2.00	A
USGS	07232500	1937-12-18	2.00	A
USGS	07232500	1937-12-19	2.00	A
USGS	07232500	1937-12-20	2.00	A
USGS	07232500	1937-12-21	2.00	A
USGS	07232500	1937-12-22	2.00	A
USGS	07232500	1937-12-23	2.00	A
USGS	07232500	1937-12-24	2.00	A
USGS	07232500	1937-12-25	2.00	A
USGS	07232500	1937-12-26	2.00	A
USGS	07232500	1937-12-27	2.00	A
USGS	07232500	1937-12-28	2.00	A
USGS	07232500	1937-12-29	2.00	A
USGS	07232500	1937-12-30	2.00	A
USGS	07232500	1937-12-31	2.00	A
USGS	07232500	1938-01-01	2.00	A
USGS	07232500	1938-01-02	2.00	A
USGS	07232500	1938-01-03	2.00	A
USGS	07232500	1938-01-04	2.00	A
USGS	07232500	1938-01-05	2.00	A
USGS	07232500	1938-01-06	2.00	A
USGS	07232500	1938-01-07	2.00	A
USGS	07232500	1938-01-08	2.00	A
USGS	07232500	1938-01-09	2.00	A
USGS	07232500	1938-01-10	2.00	A
USGS	07232500	1938-01-11	2.00	A
USGS	07232500	1938-01-12	2.00	A
USGS	07232500	1938-01-13	2.00	A
USGS	07232500	1938-01-14	2.00	A
USGS	07232500	1938-01-15	2.00	A
USGS	07232500	1938-01-16	2.00	A
USGS	07232500	1938-01-17	2.00	A
USGS	07232500	1938-01-18	2.00	A
USGS	07232500	1938-01-19	2.00	A
USGS	07232500	1938-01-20	2.00	A
USGS	07232500	1938-01-21	2.00	A
USGS	07232500	1938-01-22	2.00	A
USGS	07232500	1938-01-23	2.00	A
USGS	07232500	1938-01-24	2.00	A
USGS	07232500	1938-01-25	2.00	A
USGS	07232500	1938-01-26	2.00	A
USGS	07232500	1938-01-27	2.00	A
USGS	07232500	1938-01-28	2.00	A
USGS	07232500	1938-01-29	2.00	A
USGS	07232500	1938-01-30	2.00	A
USGS	07232500	1938-01-31	2.00	A
USGS	07232500	1938-02-01	2.00	A
USGS	07232500	1938-02-02	2.00	A
USGS	07232500	1938-02-03	2.00	A
USGS	07232500	1938-02-04	2.00	A
USGS	07232500	1938-02-05	2.00	A
USGS	07232500	1938-02-06	2.00	A
USGS	07232500	1938-02-07	2.00	A
USGS	07232500	1938-02-08	2.00	A
USGS	07232500	1938-02-09	2.00	A
USGS	07232500	1938-02-10	2.00	A
USGS	07232500	1938-02-11	2.00	A
USGS	07232500	1938-02-12	2.00	A
USGS	07232500	1938-02-13	2.00	A
USGS	07232500	1938-02-14	2.00	A
USGS	07232500	1938-02-15	2.00	A
USGS	07232500	1938-02-16	2.00	A
USGS	07232500	1938-02-17	2.00	A
USGS	07232500	1938-02-18	2.00	A
USGS	07232500	1938-02-19	2.00	A
USGS	07232500	1938-02-20	2.00	A
USGS	07232500	1938-02-21	2.00	A
USGS	07232500	1938-02-22	2.00	A
USGS	07232500	1938-02-23	2.00	A
USGS	07232500	1938-02-24	2.00	A
USGS	07232500	1938-02-25	2.00	A
USGS	07232500	1938-02-26	2.00	A
USGS	07232500	1938-02-27	2.00	A
USGS	07232500	1938-02-28	2.00	A
USGS	07232500	1938-03-01	10.0	A
USGS	07232500	1938-03-02	10.0	A
USGS	07232500	1938-03-03	10.0	A
USGS	07232500	1938-03-04	10.0	A
USGS	07232500	1938-03-05	10.0	A
USGS	07232500	1938-03-06	10.0	A
USGS	07232500	1938-03-07	10.0	A
USGS	07232500	1938-03-08	10.0	A
USGS	07232500	1938-03-09	7.00	A
USGS	07232500	1938-03-10	6.00	A
USGS	07232500	1938-03-11	6.00	A
USGS	07232500	1938-03-12	4.00	A
USGS	07232500	1938-03-13	2.00	A
USGS	07232500	1938-03-14	2.00	A
USGS	07232500	1938-03-15	2.00	A
USGS	07232500	1938-03-16	2.00	A
USGS	07232500	1938-03-17	2.00	A
USGS	07232500	1938-03-18	1.00	A
USGS	07232500	1938-03-19	1.00	A
USGS	07232500	1938-03-20	2.00	A
USGS	07232500	1938-03-21	1.00	A
USGS	07232500	1938-03-22	0.00	A
USGS	07232500	1938-03-23	1.00	A
USGS	07232500	1938-03-24	2.00	A
USGS	07232500	1938-03-25	1.00	A
USGS	07232500	1938-03-26	1.00	A
USGS	07232500	1938-03-27	5.00	A
USGS	07232500	1938-03-28	14.0	A
USGS	07232500	1938-03-29	7.00	A
USGS	07232500	1938-03-30	4.00	A
USGS	07232500	1938-03-31	2.00	A
USGS	07232500	1938-04-01	4.00	A
USGS	07232500	1938-04-02	5.00	A
USGS	07232500	1938-04-03	6.00	A
USGS	07232500	1938-04-04	5.00	A
USGS	07232500	1938-04-05	4.00	A
USGS	07232500	1938-04-06	4.00	A
USGS	07232500	1938-04-07	1.00	A
USGS	07232500	1938-04-08	0.00	A
USGS	07232500	1938-04-09	4.00	A
USGS	07232500	1938-04-10	14.0	A
USGS	07232500	1938-04-11	11.0	A
USGS	07232500	1938-04-12	9.00	A
USGS	07232500	1938-04-13	7.00	A
USGS	07232500	1938-04-14	11.0	A
USGS	07232500	1938-04-15	14.0	A
USGS	07232500	1938-04-16	2.00	A
USGS	07232500	1938-04-17	1.00	A
USGS	07232500	1938-04-18	0.00	A
USGS	07232500	1938-04-19	0.00	A
USGS	07232500	1938-04-20	1.00	A
USGS	07232500	1938-04-21	8.00	A
USGS	07232500	1938-04-22	8.00	A
USGS	07232500	1938-04-23	4.00	A
USGS	07232500	1938-04-24	4.00	A
USGS	07232500	1938-04-25	4.00	A
USGS	07232500	1938-04-26	14.0	A
USGS	07232500	1938-04-27	47.0	A
USGS	07232500	1938-04-28	16.0	A
USGS	07232500	1938-04-29	7.00	A
USGS	07232500	1938-04-30	4.00	A
USGS	07232500	1938-05-01	15.0	A
USGS	07232500	1938-05-02	7.00	A
USGS	07232500	1938-05-03	3.00	A
USGS	07232500	1938-05-04	42.0	A
USGS	07232500	1938-05-05	55.0	A
USGS	07232500	1938-05-06	9.00	A
USGS	07232500	1938-05-07	11.0	A
USGS	07232500	1938-05-08	5.00	A
USGS	07232500	1938-05-09	2.00	A
USGS	07232500	1938-05-10	1.00	A
USGS	07232500	1938-05-11	1.00	A
USGS	07232500	1938-05-12	1.00	A
USGS	07232500	1938-05-13	1.00	A
USGS	07232500	1938-05-14	0.00	A
USGS	07232500	1938-05-15	1.00	A
USGS	07232500	1938-05-16	14.0	A
USGS	07232500	1938-05-17	5.00	A
USGS	07232500	1938-05-18	1.00	A
USGS	07232500	1938-05-19	2.00	A
USGS	07232500	1938-05-20	2.00	A
USGS	07232500	1938-05-21	2.00	A
USGS	07232500	1938-05-22	72.0	A
USGS	07232500	1938-05-23	83.0	A
USGS	07232500	1938-05-24	23.0	A
USGS	07232500	1938-05-25	18.0	A
USGS	07232500	1938-05-26	13.0	A
USGS	07232500	1938-05-27	9.00	A
USGS	07232500	1938-05-28	7.00	A
USGS	07232500	1938-05-29	6.00	A
USGS	07232500	1938-05-30	167	A
USGS	07232500	1938-05-31	1570	A
USGS	07232500	1938-06-01	68.0	A
USGS	07232500	1938-06-02	45.0	A
USGS	07232500	1938-06-03	36.0	A
USGS	07232500	1938-06-04	28.0	A
USGS	07232500	1938-06-05	23.0	A
USGS	07232500	1938-06-06	23.0	A
USGS	07232500	1938-06-07	22.0	A
USGS	07232500	1938-06-08	60.0	A
USGS	07232500	1938-06-09	70.0	A
USGS	07232500	1938-06-10	48.0	A
USGS	07232500	1938-06-11	30.0	A
USGS	07232500	1938-06-12	24.0	A
USGS	07232500	1938-06-13	22.0	A
USGS	07232500	1938-06-14	20.0	A
USGS	07232500	1938-06-15	15.0	A
USGS	07232500	1938-06-16	15.0	A
USGS	07232500	1938-06-17	3140	A
USGS	07232500	1938-06-18	116	A
USGS	07232500	1938-06-19	115	A
USGS	07232500	1938-06-20	31.0	A
USGS	07232500	1938-06-21	9.00	A
USGS	07232500	1938-06-22	4.00	A
USGS	07232500	1938-06-23	4.00	A
USGS	07232500	1938-06-24	2.00	A
USGS	07232500	1938-06-25	1.00	A
USGS	07232500	1938-06-26	1.00	A
USGS	07232500	1938-06-27	1.00	A
USGS	07232500	1938-06-28	1.00	A
USGS	07232500	1938-06-29	1.00	A
USGS	07232500	1938-06-30	1.00	A
USGS	07232500	1938-07-01	2.00	A
USGS	07232500	1938-07-02	2.00	A
USGS	07232500	1938-07-03	3.00	A
USGS	07232500	1938-07-04	1.00	A
USGS	07232500	1938-07-05	1.00	A
USGS	07232500	1938-07-06	1.00	A
USGS	07232500	1938-07-07	1.00	A
USGS	07232500	1938-07-08	1.00	A
USGS	07232500	1938-07-09	1.00	A
USGS	07232500	1938-07-10	0.00	A
USGS	07232500	1938-07-11	0.00	A
USGS	07232500	1938-07-12	0.00	A
USGS	07232500	1938-07-13	0.00	A
USGS	07232500	1938-07-14	165	A
USGS	07232500	1938-07-15	70.0	A
USGS	07232500	1938-07-16	12.0	A
USGS	07232500	1938-07-17	0.00	A
USGS	07232500	1938-07-18	20.0	A
USGS	07232500	1938-07-19	74.0	A
USGS	07232500	1938-07-20	218	A
USGS	07232500	1938-07-21	144	A
USGS	07232500	1938-07-22	134	A
USGS	07232500	1938-07-23	57.0	A
USGS	07232500	1938-07-24	31.0	A
USGS	07232500	1938-07-25	14.0	A
USGS	07232500	1938-07-26	7.00	A
USGS	07232500	1938-07-27	2.00	A
USGS	07232500	1938-07-28	1.00	A
USGS	07232500	1938-07-29	813	A
USGS	07232500	1938-07-30	2130	A
USGS	07232500	1938-07-31	371	A
USGS	07232500	1938-08-01	160	A
USGS	07232500	1938-08-02	75.0	A
USGS	07232500	1938-08-03	23.0	A
USGS	07232500	1938-08-04	1.00	A
USGS	07232500	1938-08-05	0.00	A
USGS	07232500	1938-08-06	0.00	A
USGS	07232500	1938-08-07	0.00	A
USGS	07232500	1938-08-08	0.00	A
USGS	07232500	1938-08-09	0.00	A
USGS	07232500	1938-08-10	0.00	A
USGS	07232500	1938-08-11	0.00	A
USGS	07232500	1938-08-12	185	A
USGS	07232500	1938-08-13	45.0	A
USGS	07232500	1938-08-14	48.0	A
USGS	07232500	1938-08-15	28.0	A
USGS	07232500	1938-08-16	10.0	A
USGS	07232500	1938-08-17	5.00	A
USGS	07232500	1938-08-18	2.00	A
USGS	07232500	1938-08-19	1.00	A
USGS	07232500	1938-08-20	1.00	A
USGS	07232500	1938-08-21	1.00	A
USGS	07232500	1938-08-22	1.00	A
USGS	07232500	1938-08-23	0.00	A
USGS	07232500	1938-08-24	0.00	A
USGS	07232500	1938-08-25	0.00	A
USGS	07232500	1938-08-26	0.00	A
USGS	07232500	1938-08-27	0.00	A
USGS	07232500	1938-08-28	0.00	A
USGS	07232500	1938-08-29	0.00	A
USGS	07232500	1938-08-30	0.00	A
USGS	07232500	1938-08-31	0.00	A
USGS	07232500	1938-09-01	0.00	A
USGS	07232500	1938-09-02	1.00	A
USGS	07232500	1938-09-03	859	A
USGS	07232500	1938-09-04	1780	A
USGS	07232500	1938-09-05	5080	A
USGS	07232500	1938-09-06	256	A
USGS	07232500	1938-09-07	63.0	A
USGS	07232500	1938-09-08	50.0	A
USGS	07232500	1938-09-09	36.0	A
USGS	07232500	1938-09-10	28.0	A
USGS	07232500	1938-09-11	20.0	A
USGS	07232500	1938-09-12	11.0	A
USGS	07232500	1938-09-13	9.00	A
USGS	07232500	1938-09-14	7.00	A
USGS	07232500	1938-09-15	5.00	A
USGS	07232500	1938-09-16	6.00	A
USGS	07232500	1938-09-17	6.00	A
USGS	07232500	1938-09-18	5.00	A
USGS	07232500	1938-09-19	5.00	A
USGS	07232500	1938-09-20	4.00	A
USGS	07232500	1938-09-21	1.00	A
USGS	07232500	1938-09-22	1.00	A
USGS	07232500	1938-09-23	1.00	A
USGS	07232500	1938-09-24	1.00	A
USGS	07232500	1938-09-25	1.00	A
USGS	07232500	1938-09-26	1.00	A
USGS	07232500	1938-09-27	1.00	A
USGS	07232500	1938-09-28	2.00	A
USGS	07232500	1938-09-29	13.0	A
USGS	07232500	1938-09-30	7.00	A
USGS	07232500	1938-10-01	4.00	A
USGS	07232500	1938-10-02	5.00	A
USGS	07232500	1938-10-03	9.00	A
USGS	07232500	1938-10-04	10.0	A
USGS	07232500	1938-10-05	11.0	A
USGS	07232500	1938-10-06	11.0	A
USGS	07232500	1938-10-07	12.0	A
USGS	07232500	1938-10-08	12.0	A
USGS	07232500	1938-10-09	31.0	A
USGS	07232500	1938-10-10	223	A
USGS	07232500	1938-10-11	45.0	A
USGS	07232500	1938-10-12	9.00	A
USGS	07232500	1938-10-13	5.00	A
USGS	07232500	1938-10-14	4.00	A
USGS	07232500	1938-10-15	2.00	A
USGS	07232500	1938-10-16	0.00	A
USGS	07232500	1938-10-17	0.00	A
USGS	07232500	1938-10-18	0.00	A
USGS	07232500	1938-10-19	1.00	A
USGS	07232500	1938-10-20	5.00	A
USGS	07232500	1938-10-21	5.00	A
USGS	07232500	1938-10-22	5.00	A
USGS	07232500	1938-10-23	2.00	A
USGS	07232500	1938-10-24	5.00	A
USGS	07232500	1938-10-25	5.00	A
USGS	07232500	1938-10-26	5.00	A
USGS	07232500	1938-10-27	4.00	A
USGS	07232500	1938-10-28	4.00	A
USGS	07232500	1938-10-29	2.00	A
USGS	07232500	1938-10-30	2.00	A
USGS	07232500	1938-10-31	4.00	A
USGS	07232500	1938-11-01	2.00	A
USGS	07232500	1938-11-02	1.00	A
USGS	07232500	1938-11-03	0.00	A
USGS	07232500	1938-11-04	0.00	A
USGS	07232500	1938-11-05	2.00	A
USGS	07232500	1938-11-06	2.00	A
USGS	07232500	1938-11-07	2.00	A
USGS	07232500	1938-11-08	4.00	A
USGS	07232500	1938-11-09	5.00	A
USGS	07232500	1938-11-10	4.00	A
USGS	07232500	1938-11-11	2.00	A
USGS	07232500	1938-11-12	3.00	A
USGS	07232500	1938-11-13	4.00	A
USGS	07232500	1938-11-14	4.00	A
USGS	07232500	1938-11-15	6.00	A
USGS	07232500	1938-11-16	6.00	A
USGS	07232500	1938-11-17	6.00	A
USGS	07232500	1938-11-18	4.00	A
USGS	07232500	1938-11-19	4.00	A
USGS	07232500	1938-11-20	4.00	A
USGS	07232500	1938-11-21	4.00	A
USGS	07232500	1938-11-22	2.00	A
USGS	07232500	1938-11-23	2.00	A
USGS	07232500	1938-11-24	4.00	A
USGS	07232500	1938-11-25	5.00	A
USGS	07232500	1938-11-26	7.00	A
USGS	07232500	1938-11-27	11.0	A
USGS	07232500	1938-11-28	11.0	A
USGS	07232500	1938-11-29	10.0	A
USGS	07232500	1938-11-30	9.00	A
USGS	07232500	1938-12-01	9.00	A
USGS	07232500	1938-12-02	7.00	A
USGS	07232500	1938-12-03	6.00	A
USGS	07232500	1938-12-04	8.00	A
USGS	07232500	1938-12-05	7.00	A
USGS	07232500	1938-12-06	10.0	A
USGS	07232500	1938-12-07	4.00	A
USGS	07232500	1938-12-08	4.00	A
USGS	07232500	1938-12-09	7.00	A
USGS	07232500	1938-12-10	8.00	A
USGS	07232500	1938-12-11	5.00	A
USGS	07232500	1938-12-12	5.00	A
USGS	07232500	1938-12-13	10.0	A
USGS	07232500	1938-12-14	16.0	A
USGS	07232500	1938-12-15	16.0	A
USGS	07232500	1938-12-16	11.0	A
USGS	07232500	1938-12-17	18.0	A
USGS	07232500	1938-12-18	19.0	A
USGS	07232500	1938-12-19	19.0	A
USGS	07232500	1938-12-20	10.0	A
USGS	07232500	1938-12-21	25.0	A
USGS	07232500	1938-12-22	18.0	A
USGS	07232500	1938-12-23	14.0	A
USGS	07232500	1938-12-24	11.0	A
USGS	07232500	1938-12-25	10.0	A
USGS	07232500	1938-12-26	7.00	A
USGS	07232500	1938-12-27	4.00	A
USGS	07232500	1938-12-28	7.00	A
USGS	07232500	1938-12-29	6.00	A
USGS	07232500	1938-12-30	6.00	A
USGS	07232500	1938-12-31	5.00	A
USGS	07232500	1939-01-01	6.00	A
USGS	07232500	1939-01-02	7.00	A
USGS	07232500	1939-01-03	6.00	A
USGS	07232500	1939-01-04	7.00	A
USGS	07232500	1939-01-05	10.0	A
USGS	07232500	1939-01-06	11.0	A
USGS	07232500	1939-01-07	12.0	A
USGS	07232500	1939-01-08	57.0	A
USGS	07232500	1939-01-09	30.0	A
USGS	07232500	1939-01-10	11.0	A
USGS	07232500	1939-01-11	11.0	A
USGS	07232500	1939-01-12	10.0	A
USGS	07232500	1939-01-13	10.0	A
USGS	07232500	1939-01-14	9.00	A
USGS	07232500	1939-01-15	11.0	A
USGS	07232500	1939-01-16	11.0	A
USGS	07232500	1939-01-17	10.0	A
USGS	07232500	1939-01-18	14.0	A
USGS	07232500	1939-01-19	14.0	A
USGS	07232500	1939-01-20	13.0	A
USGS	07232500	1939-01-21	11.0	A
USGS	07232500	1939-01-22	10.0	A
USGS	07232500	1939-01-23	14.0	A
USGS	07232500	1939-01-24	6.00	A
USGS	07232500	1939-01-25	6.00	A
USGS	07232500	1939-01-26	6.00	A
USGS	07232500	1939-01-27	4.00	A
USGS	07232500	1939-01-28	5.00	A
USGS	07232500	1939-01-29	4.00	A
USGS	07232500	1939-01-30	4.00	A
USGS	07232500	1939-01-31	6.00	A
USGS	07232500	1939-02-01	6.00	A
USGS	07232500	1939-02-02	6.00	A
USGS	07232500	1939-02-03	6.00	A
USGS	07232500	1939-02-04	10.0	A
USGS	07232500	1939-02-05	8.00	A
USGS	07232500	1939-02-06	5.00	A
USGS	07232500	1939-02-07	2.00	A
USGS	07232500	1939-02-08	0.00	A
USGS	07232500	1939-02-09	0.00	A
USGS	07232500	1939-02-10	0.00	A
USGS	07232500	1939-02-11	0.00	A
USGS	07232500	1939-02-12	13.0	A
USGS	07232500	1939-02-13	5.00	A
USGS	07232500	1939-02-14	9.00	A
USGS	07232500	1939-02-15	6.00	A
USGS	07232500	1939-02-16	3.00	A
USGS	07232500	1939-02-17	3.00	A
USGS	07232500	1939-02-18	10.0	A
USGS	07232500	1939-02-19	5.00	A
USGS	07232500	1939-02-20	3.00	A
USGS	07232500	1939-02-21	4.00	A
USGS	07232500	1939-02-22	8.00	A
USGS	07232500	1939-02-23	12.0	A
USGS	07232500	1939-02-24	6.00	A
USGS	07232500	1939-02-25	3.00	A
USGS	07232500	1939-02-26	3.00	A
USGS	07232500	1939-02-27	3.00	A
USGS	07232500	1939-02-28	0.00	A
USGS	07232500	1939-03-01	0.00	A
USGS	07232500	1939-03-02	0.00	A
USGS	07232500	1939-03-03	0.00	A
USGS	07232500	1939-03-04	20.0	A
USGS	07232500	1939-03-05	11.0	A
USGS	07232500	1939-03-06	7.00	A
USGS	07232500	1939-03-07	7.00	A
USGS	07232500	1939-03-08	6.00	A
USGS	07232500	1939-03-09	6.00	A
USGS	07232500	1939-03-10	7.00	A
USGS	07232500	1939-03-11	9.00	A
USGS	07232500	1939-03-12	9.00	A
USGS	07232500	1939-03-13	6.00	A
USGS	07232500	1939-03-14	6.00	A
USGS	07232500	1939-03-15	6.00	A
USGS	07232500	1939-03-16	6.00	A
USGS	07232500	1939-03-17	6.00	A
USGS	07232500	1939-03-18	6.00	A
USGS	07232500	1939-03-19	6.00	A
USGS	07232500	1939-03-20	7.00	A
USGS	07232500	1939-03-21	6.00	A
USGS	07232500	1939-03-22	6.00	A
USGS	07232500	1939-03-23	6.00	A
USGS	07232500	1939-03-24	129	A
USGS	07232500	1939-03-25	24.0	A
USGS	07232500	1939-03-26	6.00	A
USGS	07232500	1939-03-27	76.0	A
USGS	07232500	1939-03-28	366	A
USGS	07232500	1939-03-29	24.0	A
USGS	07232500	1939-03-30	10.0	A
USGS	07232500	1939-03-31	8.00	A
USGS	07232500	1939-04-01	7.00	A
USGS	07232500	1939-04-02	6.00	A
USGS	07232500	1939-04-03	6.00	A
USGS	07232500	1939-04-04	8.00	A
USGS	07232500	1939-04-05	1480	A
USGS	07232500	1939-04-06	91.0	A
USGS	07232500	1939-04-07	31.0	A
USGS	07232500	1939-04-08	28.0	A
USGS	07232500	1939-04-09	24.0	A
USGS	07232500	1939-04-10	19.0	A
USGS	07232500	1939-04-11	22.0	A
USGS	07232500	1939-04-12	20.0	A
USGS	07232500	1939-04-13	18.0	A
USGS	07232500	1939-04-14	13.0	A
USGS	07232500	1939-04-15	12.0	A
USGS	07232500	1939-04-16	9.00	A
USGS	07232500	1939-04-17	8.00	A
USGS	07232500	1939-04-18	5.00	A
USGS	07232500	1939-04-19	6.00	A
USGS	07232500	1939-04-20	6.00	A
USGS	07232500	1939-04-21	6.00	A
USGS	07232500	1939-04-22	5.00	A
USGS	07232500	1939-04-23	4.00	A
USGS	07232500	1939-04-24	2.00	A
USGS	07232500	1939-04-25	3.00	A
USGS	07232500	1939-04-26	5.00	A
USGS	07232500	1939-04-27	7.00	A
USGS	07232500	1939-04-28	6.00	A
USGS	07232500	1939-04-29	6.00	A
USGS	07232500	1939-04-30	5.00	A
USGS	07232500	1939-05-01	4.00	A
USGS	07232500	1939-05-02	4.00	A
USGS	07232500	1939-05-03	4.00	A
USGS	07232500	1939-05-04	4.00	A
USGS	07232500	1939-05-05	9.00	A
USGS	07232500	1939-05-06	7.00	A
USGS	07232500	1939-05-07	1.00	A
USGS	07232500	1939-05-08	1.00	A
USGS	07232500	1939-05-09	1.00	A
USGS	07232500	1939-05-10	0.00	A
USGS	07232500	1939-05-11	0.00	A
USGS	07232500	1939-05-12	2.00	A
USGS	07232500	1939-05-13	5.00	A
USGS	07232500	1939-05-14	4.00	A
USGS	07232500	1939-05-15	4.00	A
USGS	07232500	1939-05-16	4.00	A
USGS	07232500	1939-05-17	4.00	A
USGS	07232500	1939-05-18	4.00	A
USGS	07232500	1939-05-19	3.00	A
USGS	07232500	1939-05-20	1.00	A
USGS	07232500	1939-05-21	2.00	A
USGS	07232500	1939-05-22	1.00	A
USGS	07232500	1939-05-23	0.00	A
USGS	07232500	1939-05-24	0.00	A
USGS	07232500	1939-05-25	12.0	A
USGS	07232500	1939-05-26	11.0	A
USGS	07232500	1939-05-27	4.00	A
USGS	07232500	1939-05-28	2.00	A
USGS	07232500	1939-05-29	1.00	A
USGS	07232500	1939-05-30	1.00	A
USGS	07232500	1939-05-31	6.00	A
USGS	07232500	1939-06-01	29.0	A
USGS	07232500	1939-06-02	47.0	A
USGS	07232500	1939-06-03	9.00	A
USGS	07232500	1939-06-04	4.00	A
USGS	07232500	1939-06-05	2.00	A
USGS	07232500	1939-06-06	2.00	A
USGS	07232500	1939-06-07	2.00	A
USGS	07232500	1939-06-08	2.00	A
USGS	07232500	1939-06-09	2.00	A
USGS	07232500	1939-06-10	1.00	A
USGS	07232500	1939-06-11	2.00	A
